City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Nefteyugansk,RU,61.1,72.6,59.0,100,40,2.24,light intensity shower rain
125,Tawang,IN,27.58,91.87,54.95,76,88,1.48,overcast clouds
126,Barrow,US,71.29,-156.79,37.4,74,90,9.17,overcast clouds
127,Cheyenne,US,41.14,-104.82,72.0,32,1,14.99,clear sky
128,Shimoda,JP,34.67,138.95,73.99,94,0,1.01,clear sky
129,Makakilo City,US,21.35,-158.09,80.6,69,75,4.7,broken clouds
130,Mandalgovi,MN,45.76,106.27,52.88,75,100,8.34,overcast clouds
131,Broome,US,42.25,-75.83,77.0,77,90,3.36,overcast clouds
132,Qaqortoq,GL,60.72,-46.03,60.8,36,75,25.28,broken clouds
133,Beyneu,KZ,45.32,55.2,79.0,22,100,13.18,overcast clouds
134,Bluff,NZ,-46.6,168.33,45.0,72,54,11.01,broken clouds
135,Kodiak,US,57.79,-152.41,57.2,67,1,9.17,clear sky
136,Sungaipenuh,ID,-2.08,101.38,64.02,92,66,1.63,broken clouds
137,Nantucket,US,41.28,-70.1,75.2,73,1,10.29,clear sky
138,Nome,US,64.5,-165.41,54.0,87,90,3.36,overcast clouds
139,Bambous Virieux,MU,-20.34,57.76,71.6,73,20,10.29,few clouds
140,Constitucion,CL,-35.33,-72.42,50.77,83,100,13.53,light rain
141,Concepcion,CL,-36.83,-73.05,51.8,81,90,20.8,overcast clouds
142,Jieshi,CN,22.81,115.83,81.75,82,98,3.96,overcast clouds
143,Porto Novo,BJ,6.5,2.6,78.8,83,40,13.87,scattered clouds
144,Dandong,CN,40.13,124.39,68.95,96,61,1.34,broken clouds
145,Tabuk,PH,17.42,121.44,75.18,82,95,1.3,overcast clouds
146,Broken Hill,AU,-31.95,141.43,46.4,52,0,5.82,clear sky
147,Butaritari,KI,3.07,172.79,82.35,74,100,14.32,overcast clouds
148,Chuy,UY,-33.7,-53.46,62.37,88,79,7.61,broken clouds
149,Tuatapere,NZ,-46.13,167.68,45.0,72,0,11.01,clear sky
150,Nampula,MZ,-15.12,39.27,75.2,64,0,12.75,clear sky
151,Karratha,AU,-20.74,116.85,77.63,28,0,9.15,clear sky
152,Taoudenni,ML,22.68,-3.98,105.15,7,0,10.02,clear sky
153,Batagay-Alyta,RU,67.8,130.41,39.87,69,73,0.85,broken clouds
154,Roma,US,43.21,-75.46,72.0,64,90,11.41,overcast clouds
155,Luwuk,ID,-0.95,122.79,75.6,78,11,6.93,few clouds
156,Saldanha,ZA,-33.01,17.94,51.8,81,19,4.7,few clouds
157,Gondanglegi,ID,-7.75,112.01,74.97,82,9,15.23,clear sky
158,Paamiut,GL,61.99,-49.67,47.82,95,100,8.23,moderate rain
159,Humaita,BR,-7.51,-63.02,100.69,30,73,2.98,broken clouds
160,Cesvaine,LV,56.97,26.32,50.81,80,35,3.62,scattered clouds
161,Clearwater,US,27.97,-82.8,91.99,59,40,8.05,scattered clouds
162,Ruteng,ID,-8.61,120.47,59.13,100,22,2.21,few clouds
163,Kargil,IN,34.57,76.1,54.43,53,50,6.64,scattered clouds
164,Yar,RU,58.25,52.1,60.75,91,100,6.24,light rain
165,Magadan,RU,59.57,150.8,44.1,71,82,9.48,broken clouds
166,Lebu,CL,-37.62,-73.65,49.3,94,100,7.76,moderate rain
167,Vila Velha,BR,-20.33,-40.29,78.01,73,20,8.05,few clouds
168,Benguela,AO,-12.58,13.41,67.55,82,83,5.3,broken clouds
169,Bac Lieu,VN,9.29,105.72,80.04,85,9,7.63,light rain
170,Pisco,PE,-13.7,-76.22,64.99,77,75,8.05,broken clouds
171,Merritt Island,US,28.54,-80.67,95.0,59,20,6.93,few clouds
172,Saskylakh,RU,71.92,114.08,50.4,69,22,2.66,few clouds
173,Puerto Ayora,EC,-0.74,-90.35,73.4,69,40,21.92,scattered clouds
174,Pacific Grove,US,36.62,-121.92,66.2,68,40,6.93,scattered clouds
175,Severo-Kurilsk,RU,50.68,156.12,49.12,80,67,6.98,broken clouds
176,Dyurtyuli,RU,55.49,54.87,65.23,74,100,9.89,overcast clouds
177,Mananjary,MG,-21.22,48.33,68.83,89,1,6.38,clear sky
178,Beisfjord,NO,68.38,17.6,48.2,87,75,17.22,light intensity shower rain
179,Jalu,LY,29.03,21.55,85.19,30,0,4.05,clear sky
180,Gat,IL,31.61,34.76,82.0,28,0,6.08,clear sky
181,Hambantota,LK,6.12,81.12,78.8,94,40,5.82,scattered clouds
182,Bar Harbor,US,44.39,-68.2,75.99,38,20,6.93,few clouds
183,Brae,GB,60.4,-1.35,51.8,71,75,10.29,broken clouds
184,Gimli,CA,50.63,-96.99,72.0,99,2,10.0,clear sky
185,Pakxan,LA,18.38,103.66,76.1,95,100,1.07,light rain
186,Buala,SB,-8.14,159.59,80.29,78,95,4.88,overcast clouds
187,Avesta,SE,60.15,16.17,52.0,84,58,3.85,broken clouds
188,Port Macquarie,AU,-31.43,152.92,46.99,80,0,6.93,clear sky
189,Adelaide,AU,-34.93,138.6,57.99,60,0,1.01,clear sky
190,Llandrindod Wells,GB,52.24,-3.38,54.0,85,100,4.0,overcast clouds
191,Tiksi,RU,71.69,128.87,41.65,81,28,8.14,scattered clouds
192,Port Hedland,AU,-20.32,118.57,66.2,63,0,9.17,clear sky
193,Kpandae,GH,8.47,-0.01,76.21,84,91,6.06,overcast clouds
194,Mayo,US,38.89,-76.51,91.99,55,75,6.93,broken clouds
195,Ati,TD,13.22,18.34,81.0,70,73,7.94,light rain
196,Gazli,UZ,40.13,63.45,74.32,28,0,13.35,clear sky
197,Avarua,CK,-21.21,-159.78,73.4,83,86,5.82,overcast clouds
198,Sept-Iles,CA,50.2,-66.38,62.01,51,75,17.22,broken clouds
199,Gorontalo,ID,0.54,123.06,74.88,85,1,3.94,clear sky
200,Dzhebariki-Khaya,RU,62.22,135.8,38.62,73,0,1.12,clear sky
201,Iqaluit,CA,63.75,-68.51,55.4,47,75,5.82,broken clouds
